Text Content,Document,Codes,Start position,End position,time_pre,author_pre,time_cur,author_cur,time_next,author_next,author_association
"Is it possible to add feature in order to force vscode to open file only by double clicking on it,  single click should only select a file in explorer ?",issue9388_allCommentsText.doc,"9388_claim 1, 9388_support 1",393,545,,,2016-07-16T14:48:59Z,ivalexa,2016-07-16T16:20:03Z,brunnopleffken,NOT FOUND
This can be very useful when there is a lot of files and you looking the exact one in explorer.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",546,641,,,2016-07-16T14:48:59Z,ivalexa,2016-07-16T16:20:03Z,brunnopleffken,NOT FOUND
"I'm using VS Code 1.4.0 Insider, but I think v1.3.1 behaves the same way: single-click just to select and preview the file; double-click already open it.",issue9388_allCommentsText.doc,9388_non-argumentative,760,913,2016-07-16T14:48:59Z,ivalexa,2016-07-16T16:20:03Z,brunnopleffken,2016-07-16T16:44:34Z,ivalexa,CONTRIBUTOR
otherwise there is no reason for double click,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",1079,1124,2016-07-16T16:20:03Z,brunnopleffken,2016-07-16T16:44:34Z,ivalexa,2016-07-16T22:02:25Z,bgse,NONE
"@qwert789 The 'preview' function does not keep the file open when you preview or open another file in the same editor stack (unless you edit the previewed file, which makes the file opened).",issue9388_allCommentsText.doc,"9388_ground 1, 9388_against 1",1233,1423,2016-07-16T16:44:34Z,ivalexa,2016-07-16T22:02:25Z,bgse,2016-07-21T04:55:50Z,payonel,CONTRIBUTOR
"Not sure what you are going for here, why would you actually (left-)click the file if you do not intend to do anything with it?",issue9388_allCommentsText.doc,"9388_against 1, 9388_warrant 1",1426,1553,2016-07-16T16:44:34Z,ivalexa,2016-07-16T22:02:25Z,bgse,2016-07-21T04:55:50Z,payonel,CONTRIBUTOR
I also am trying to figure out how to do this,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",1665,1710,2016-07-16T22:02:25Z,bgse,2016-07-21T04:55:50Z,payonel,2016-08-23T04:17:22Z,iamsunny,NONE
"because I want the explorer panel to have focus, I might then use the arrow keys to scroll up and down in the list of files for me.",issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",1718,1849,2016-07-16T22:02:25Z,bgse,2016-07-21T04:55:50Z,payonel,2016-08-23T04:17:22Z,iamsunny,NONE
I was hoping I could type the name of a file and it's scroll to the next file it found starting with that letter.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",1947,2060,2016-07-16T22:02:25Z,bgse,2016-07-21T04:55:50Z,payonel,2016-08-23T04:17:22Z,iamsunny,NONE
even with KB focus in the explorer window it doesn't do this.,issue9388_allCommentsText.doc,"9388_ground 1, 9388_support 1",2076,2137,2016-07-16T22:02:25Z,bgse,2016-07-21T04:55:50Z,payonel,2016-08-23T04:17:22Z,iamsunny,NONE
I want [enter] or [double click] to open the file.,issue9388_allCommentsText.doc,"9388_claim 1, 9388_support 1",2264,2314,2016-07-16T22:02:25Z,bgse,2016-07-21T04:55:50Z,payonel,2016-08-23T04:17:22Z,iamsunny,NONE
I'm also having this trouble.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",2551,2580,2016-07-21T04:55:50Z,payonel,2016-08-23T04:17:22Z,iamsunny,2016-10-31T04:31:01Z,azizsaboor,NONE
Most of the time I want to drag and drop files into the editor from the explorer bar.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",2581,2666,2016-07-21T04:55:50Z,payonel,2016-08-23T04:17:22Z,iamsunny,2016-10-31T04:31:01Z,azizsaboor,NONE
"As soon I select a file to drag, it opens it in preview mode and I lose the focus of the current editing file in editor.",issue9388_allCommentsText.doc,"9388_ground 1, 9388_support 1",2667,2787,2016-07-21T04:55:50Z,payonel,2016-08-23T04:17:22Z,iamsunny,2016-10-31T04:31:01Z,azizsaboor,NONE
"I really dislike this ""feature"" of VS Code.",issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",2907,2950,2016-08-23T04:17:22Z,iamsunny,2016-10-31T04:31:01Z,azizsaboor,2016-11-09T17:37:24Z,waynebloss,NONE
I want to disable automatic previewing of any file just because I have single-clicked it.,issue9388_allCommentsText.doc,"9388_claim 1, 9388_support 1",2951,3040,2016-08-23T04:17:22Z,iamsunny,2016-10-31T04:31:01Z,azizsaboor,2016-11-09T17:37:24Z,waynebloss,NONE
I would much rather double-click to open only.,issue9388_allCommentsText.doc,"9388_claim 1, 9388_support 1",3041,3087,2016-08-23T04:17:22Z,iamsunny,2016-10-31T04:31:01Z,azizsaboor,2016-11-09T17:37:24Z,waynebloss,NONE
"I hate the ""Preview Tab"" feature of the full Visual Studio and I hate it in VSCode too.",issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",3226,3313,2016-10-31T04:31:01Z,azizsaboor,2016-11-09T17:37:24Z,waynebloss,2016-11-11T18:21:13Z,waynebloss,NONE
Has anyone found a way to turn this off yet?,issue9388_allCommentsText.doc,9388_non-argumentative,3316,3360,2016-10-31T04:31:01Z,azizsaboor,2016-11-09T17:37:24Z,waynebloss,2016-11-11T18:21:13Z,waynebloss,NONE
How do we achieve this?,issue9388_allCommentsText.doc,9388_non-argumentative,3088,3111,2016-08-23T04:17:22Z,iamsunny,2016-10-31T04:31:01Z,azizsaboor,2016-11-09T17:37:24Z,waynebloss,NONE
"I found a really klunky workaround - if you right-click the Explorer pane and then hit `Esc` to hide the menu, the Explorer pane retains focus and then you can use the keyboard to navigate your folder.",issue9388_allCommentsText.doc,9388_non-argumentative,3475,3676,2016-11-09T17:37:24Z,waynebloss,2016-11-11T18:21:13Z,waynebloss,2016-11-11T23:14:40Z,bgse,NONE
"@waynebloss You can also use the shortcut (Ctrl+Shift+E) to switch focus to explorer, or if you really want to use the mouse, you can middle-click and prevent the right-click menu that way.",issue9388_allCommentsText.doc,9388_non-argumentative,3785,3974,2016-11-11T18:21:13Z,waynebloss,2016-11-11T23:14:40Z,bgse,2016-11-11T23:38:14Z,waynebloss,CONTRIBUTOR
@bgse when I tried that earlier today it opened the file that received focus in the explorer tree immediately.,issue9388_allCommentsText.doc,9388_non-argumentative,4089,4199,2016-11-11T23:14:40Z,bgse,2016-11-11T23:38:14Z,waynebloss,2016-11-25T08:30:03Z,finalclass,NONE
This preview feature indeed is super annoying.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",4314,4360,2016-11-11T23:38:14Z,waynebloss,2016-11-25T08:30:03Z,finalclass,2016-12-02T08:11:56Z,sp4ceman,NONE
Please provide a way to disable it or some guidance on how to change it manually in the code.,issue9388_allCommentsText.doc,"9388_claim 1, 9388_support 1",4361,4454,2016-11-11T23:38:14Z,waynebloss,2016-11-25T08:30:03Z,finalclass,2016-12-02T08:11:56Z,sp4ceman,NONE
nthing the calls for this.,issue9388_allCommentsText.doc,9388_non-argumentative,4565,4591,2016-11-25T08:30:03Z,finalclass,2016-12-02T08:11:56Z,sp4ceman,2016-12-02T10:33:37Z,bgse,NONE
i single click to get into the explorer tree to use my mouse wheel to scroll up or down or to make a particular file highlighted.,issue9388_allCommentsText.doc,"9388_ground 1, 9388_support 1",4592,4721,2016-11-25T08:30:03Z,finalclass,2016-12-02T08:11:56Z,sp4ceman,2016-12-02T10:33:37Z,bgse,NONE
"i dont want it to do anything, i dont want to flash another window i just want to scroll up or down without losing where i am in my file.",issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",4722,4859,2016-11-25T08:30:03Z,finalclass,2016-12-02T08:11:56Z,sp4ceman,2016-12-02T10:33:37Z,bgse,NONE
"@bgse i don't like the comment ""Not sure what you are going for here, why would you actually (left-)click the file if you do not intend to do anything with it?"".",issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",4964,5125,2016-11-25T08:30:03Z,finalclass,2016-12-02T08:11:56Z,sp4ceman,2016-12-02T10:33:37Z,bgse,NONE
i might do it because i missclicked it.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",5126,5165,2016-11-25T08:30:03Z,finalclass,2016-12-02T08:11:56Z,sp4ceman,2016-12-02T10:33:37Z,bgse,NONE
"i might do it because i want to rename it, i might do it because im drunk and wanted to do something else, thats not really the point.",issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",5166,5300,2016-11-25T08:30:03Z,finalclass,2016-12-02T08:11:56Z,sp4ceman,2016-12-02T10:33:37Z,bgse,NONE
the point is i am doing it and expect a result thats different to the one im getting.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",5301,5386,2016-11-25T08:30:03Z,finalclass,2016-12-02T08:11:56Z,sp4ceman,2016-12-02T10:33:37Z,bgse,NONE
"it just doesn't feel really windowsy, and the single click open thing seems to use my years and years of muscle memory against me.",issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",5389,5519,2016-11-25T08:30:03Z,finalclass,2016-12-02T08:11:56Z,sp4ceman,2016-12-02T10:33:37Z,bgse,NONE
"@sp4ceman No offense meant, guess coming from different platforms makes for different habits and expectations.",issue9388_allCommentsText.doc,9388_non-argumentative,5730,5840,2016-12-02T08:11:56Z,sp4ceman,2016-12-02T10:33:37Z,bgse,2016-12-02T22:08:59Z,payonel,CONTRIBUTOR
"As for clicking the explorer tree for scroll wheel usage, you don't actually have to do that, it is sufficient to just hover the cursor over the explorer tree, and then you can start using the wheel without clicking first.",issue9388_allCommentsText.doc,"9388_ground 1, 9388_against 1",5843,6065,2016-12-02T08:11:56Z,sp4ceman,2016-12-02T10:33:37Z,bgse,2016-12-02T22:08:59Z,payonel,CONTRIBUTOR
"Maybe there is some hacky-whacky way to get rid of preview mode via extension for now, might look into it a bit over the weekend.",issue9388_allCommentsText.doc,9388_non-argumentative,6068,6197,2016-12-02T08:11:56Z,sp4ceman,2016-12-02T10:33:37Z,bgse,2016-12-02T22:08:59Z,payonel,CONTRIBUTOR
@bgse but for me the issue is that I like to pgup/pgdown in a file tree to quickly look in other folders.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",6307,6412,2016-12-02T10:33:37Z,bgse,2016-12-02T22:08:59Z,payonel,2016-12-20T04:30:44Z,giangcoi48k,NONE
"My projects have many files and many folders maintained by many other devs, so it is not infrequent that I don't know yet what I'm looking for.",issue9388_allCommentsText.doc,"9388_ground 1, 9388_support 1",6413,6556,2016-12-02T10:33:37Z,bgse,2016-12-02T22:08:59Z,payonel,2016-12-20T04:30:44Z,giangcoi48k,NONE
"Or to use the left arrow key to close the collapse the current folder, and down/up arrow to adjacent folders and right arrow to open one and look again.",issue9388_allCommentsText.doc,"9388_ground 1, 9388_support 1",6557,6709,2016-12-02T10:33:37Z,bgse,2016-12-02T22:08:59Z,payonel,2016-12-20T04:30:44Z,giangcoi48k,NONE
Scrolling with the mouse can be somewhat slow when I'm trying to view a large range.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",6710,6794,2016-12-02T10:33:37Z,bgse,2016-12-02T22:08:59Z,payonel,2016-12-20T04:30:44Z,giangcoi48k,NONE
"I've just updated to the latest version 1.8.1 this morning, and it seems that microsoft are not determined this additional option.",issue9388_allCommentsText.doc,9388_non-argumentative,6908,7038,2016-12-02T22:08:59Z,payonel,2016-12-20T04:30:44Z,giangcoi48k,2017-01-04T10:09:01Z,bpasero,NONE
I have to consider switching to another ide,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",7109,7152,2016-12-02T22:08:59Z,payonel,2016-12-20T04:30:44Z,giangcoi48k,2017-01-04T10:09:01Z,bpasero,NONE
Updated the summary: such a setting should also control that a folder only expands on double click.,issue9388_allCommentsText.doc,9388_non-argumentative,7262,7361,2016-12-20T04:30:44Z,giangcoi48k,2017-01-04T10:09:01Z,bpasero,2017-01-05T08:38:06Z,hpcsc,MEMBER
@qwert789 and other interested people: i'm working on a pull request to implement this feature.,issue9388_allCommentsText.doc,9388_non-argumentative,7469,7564,2017-01-04T10:09:01Z,bpasero,2017-01-05T08:38:06Z,hpcsc,2017-01-05T08:42:52Z,finalclass,NONE
"Do you expect this behaviour (single click to highlight, double click to open/toggle) everywhere else like search results, git changes, extensions, etc?",issue9388_allCommentsText.doc,9388_non-argumentative,7565,7717,2017-01-04T10:09:01Z,bpasero,2017-01-05T08:38:06Z,hpcsc,2017-01-05T08:42:52Z,finalclass,NONE
"Wow, that's a great news.",issue9388_allCommentsText.doc,9388_non-argumentative,7868,7893,2017-01-05T08:38:06Z,hpcsc,2017-01-05T08:42:52Z,finalclass,2017-01-05T14:04:27Z,hpcsc,NONE
IMO it should be only implemented in the explorer.,issue9388_allCommentsText.doc,"9388_claim 2, 9388_support 2",7894,7944,2017-01-05T08:38:06Z,hpcsc,2017-01-05T08:42:52Z,finalclass,2017-01-05T14:04:27Z,hpcsc,NONE
"@finalclass to be clear, in explorer section, there are ""Open Editors"" pane and ""Explorer"" pane.",issue9388_allCommentsText.doc,9388_non-argumentative,8052,8148,2017-01-05T08:42:52Z,finalclass,2017-01-05T14:04:27Z,hpcsc,2017-01-05T15:25:17Z,finalclass,NONE
"I assume you are only referring to ""Explorer"" pane?",issue9388_allCommentsText.doc,9388_non-argumentative,8149,8200,2017-01-05T08:42:52Z,finalclass,2017-01-05T14:04:27Z,hpcsc,2017-01-05T15:25:17Z,finalclass,NONE
I'll wait 1-2 days to see any other opinion,issue9388_allCommentsText.doc,9388_non-argumentative,8203,8246,2017-01-05T08:42:52Z,finalclass,2017-01-05T14:04:27Z,hpcsc,2017-01-05T15:25:17Z,finalclass,NONE
"I think the behavior should be the same in all panes of the explorer section, ""open editors"" and ""explorer"".",issue9388_allCommentsText.doc,"9388_claim 2, 9388_against 2",8574,8682,2017-01-05T15:25:17Z,finalclass,2017-01-05T15:51:41Z,payonel,2017-01-05T18:17:51Z,benedictleejh,NONE
"to me this is a change in behavior of clicking on the filenames, and it shouldn't differ just because i clicked on a filename a few nodes higher in the same ""viewport"".",issue9388_allCommentsText.doc,"9388_against 2, 9388_warrant 2",8683,8851,2017-01-05T15:25:17Z,finalclass,2017-01-05T15:51:41Z,payonel,2017-01-05T18:17:51Z,benedictleejh,NONE
"Either way, this change is a welcome update and I appreciate your work on this for us.",issue9388_allCommentsText.doc,9388_non-argumentative,8852,8938,2017-01-05T15:25:17Z,finalclass,2017-01-05T15:51:41Z,payonel,2017-01-05T18:17:51Z,benedictleejh,NONE
