Text Content,Document,Codes,Start position,End position
"Is it possible to add feature in order to force vscode to open file only by double clicking on it,  single click should only select a file in explorer ?",issue9388_allCommentsText.doc,"9388_claim 1, 9388_support 1",393,545
This can be very useful when there is a lot of files and you looking the exact one in explorer.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",546,641
"I'm using VS Code 1.4.0 Insider, but I think v1.3.1 behaves the same way: single-click just to select and preview the file; double-click already open it.",issue9388_allCommentsText.doc,9388_non-argumentative,760,913
otherwise there is no reason for double click,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",1079,1124
"@qwert789 The 'preview' function does not keep the file open when you preview or open another file in the same editor stack (unless you edit the previewed file, which makes the file opened).",issue9388_allCommentsText.doc,"9388_ground 1, 9388_against 1",1233,1423
"Not sure what you are going for here, why would you actually (left-)click the file if you do not intend to do anything with it?",issue9388_allCommentsText.doc,"9388_against 1, 9388_warrant 1",1426,1553
I also am trying to figure out how to do this,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",1665,1710
"because I want the explorer panel to have focus, I might then use the arrow keys to scroll up and down in the list of files for me.",issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",1718,1849
I was hoping I could type the name of a file and it's scroll to the next file it found starting with that letter.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",1947,2060
even with KB focus in the explorer window it doesn't do this.,issue9388_allCommentsText.doc,"9388_ground 1, 9388_support 1",2076,2137
I want [enter] or [double click] to open the file.,issue9388_allCommentsText.doc,"9388_claim 1, 9388_support 1",2264,2314
I'm also having this trouble.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",2551,2580
Most of the time I want to drag and drop files into the editor from the explorer bar.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",2581,2666
"As soon I select a file to drag, it opens it in preview mode and I lose the focus of the current editing file in editor.",issue9388_allCommentsText.doc,"9388_ground 1, 9388_support 1",2667,2787
"I really dislike this ""feature"" of VS Code.",issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",2907,2950
I want to disable automatic previewing of any file just because I have single-clicked it.,issue9388_allCommentsText.doc,"9388_claim 1, 9388_support 1",2951,3040
I would much rather double-click to open only.,issue9388_allCommentsText.doc,"9388_claim 1, 9388_support 1",3041,3087
"I hate the ""Preview Tab"" feature of the full Visual Studio and I hate it in VSCode too.",issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",3226,3313
Has anyone found a way to turn this off yet?,issue9388_allCommentsText.doc,9388_non-argumentative,3316,3360
How do we achieve this?,issue9388_allCommentsText.doc,9388_non-argumentative,3088,3111
"I found a really klunky workaround - if you right-click the Explorer pane and then hit `Esc` to hide the menu, the Explorer pane retains focus and then you can use the keyboard to navigate your folder.",issue9388_allCommentsText.doc,9388_non-argumentative,3475,3676
"@waynebloss You can also use the shortcut (Ctrl+Shift+E) to switch focus to explorer, or if you really want to use the mouse, you can middle-click and prevent the right-click menu that way.",issue9388_allCommentsText.doc,9388_non-argumentative,3785,3974
@bgse when I tried that earlier today it opened the file that received focus in the explorer tree immediately.,issue9388_allCommentsText.doc,9388_non-argumentative,4089,4199
This preview feature indeed is super annoying.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",4314,4360
Please provide a way to disable it or some guidance on how to change it manually in the code.,issue9388_allCommentsText.doc,"9388_claim 1, 9388_support 1",4361,4454
